gene_symbol	ensembl_gene_id	total_nominations	first_nomination_year	nominating_teams	input_data	validation_details	pharos_class	in_snapshot	our_rank	overall_score	genetic_score	mutation_freq	expr_log2fc	prot_log2fc	chronos	frac_dependent	loeuf	druggability_score	tractability_modalities	max_disease_phase	n_disease_trials	n_publications	velocity	tissue_tau	target_class	is_common_essential	surface_or_secreted	winner_snapshot	rwr_snapshot	winner_global	winner_global_rank	string_degree	axes_with_data
SCML4	ENSG00000146285	1	2023	ASU	RNA	Validation studies ongoing 	Tdark	yes	6272				-0.845				1.1000978935989876	0.3	1			8	0.125	0.8308		false	false			0.003648	17536	13	6
SCN2A	ENSG00000136531	1	2018	MSSM - Zhang Lab	Genetics; RNA	validation studies ongoing	Tclin	yes	442	0.34470631844933364			-1.105				0.15404551952641599	1	3	3	5	197	0.28426395939086296	0.8486	Ion channel	false	true	0.1191	0.0246	0.082311	2510	203	7
SCN7A	ENSG00000136546	1	2018	Duke	Genetics; Metabolomics	not prioritized for experimental validation	Tclin	yes	467	0.33963362034816635			-0.349				1.0244804982560558	1	3	3	5	33	0.36363636363636365	0.692	Ion channel	false	true	0.0337	0.0045	0.025116	8566	60	7
SCN8A	ENSG00000196876	1	2018	MSSM - Zhang Lab	Genetics; RNA	not prioritized for experimental validation	Tclin	yes	307	0.3740886421096306			-1.561				0.22097217157402638	1	3	3	5	106	0.36792452830188677	0.77	Ion channel	false	true	0.0757	0.017	0.057938	3939	145	7
SCN9A	ENSG00000169432	1	2018	Duke	Genetics; Metabolomics	not prioritized for experimental validation	Tclin	yes	436	0.3459282550929885			-1.582				0.8098968817277862	1	3	3	5	104	0.2980769230769231	0.6908	Ion channel	false	true	0.0527	0.0075	0.049014	4810	125	7
SCRN2	ENSG00000141295	1	2023	Duke	Metabolomics; Genetics; RNA; Protein; Phenomics	Not prioritized for experimental validation 	Tdark	yes	6273	0.004784005896751974			-0.225				1.0149621905236421	0.3	1			8	0.375	0.2277		false	false			0.008228	14321	22	6
SDHA	ENSG00000073578	1	2018	Emory	Protein	not prioritized for experimental validation	Tbio	yes	6274	0.018927167728118775			-0.835				0.7787155316692499	0.3	3			316	0.27848101265822783	0.2085	Oxidoreductase	false	true			0.236847	286	569	6
SDR42E1	ENSG00000184860	1	2023	Duke	Metabolomics; Genetics	Not prioritized for experimental validation 	Tdark	yes	4911	0.029384391764928557	0.048335093205297504		-0.323					0.3	3			6	0.3333333333333333	0.7671		false	false			0.057598	3970	162	6
SDR9C7	ENSG00000170426	1	2018	Duke	Genetics; Metabolomics	not prioritized for experimental validation	Tbio	yes	6275				-0.183				0.7704081947231469	0	0			10	0.5	0.8987		false	false			0.015118	11303	40	6
SELENBP1	ENSG00000143416	1	2023	MSSM - Roussos Lab	RNA	Not prioritized for experimental validation 	Tbio	yes	4859	0.03009283266271364			0.344				1.4183642918880124	0.3	2			56	0.2857142857142857	0.3658		false	false			0.023120	9020	57	6
SEMA3F	ENSG00000001617	1	2018	Columbia-Rush	Genetics; RNA; Protein; Clinical	not prioritized for experimental validation	Tbio	yes	690	0.2969273666904404	0.45853112312482797		1.392				0.41293913925203773	0.3	1			81	0.3333333333333333	0.4633		false	true	0.0228	0.0028	0.022257	9238	58	6
SENP1	ENSG00000079387	1	2019	Chang Lab	Genetics; RNA		Tchem	yes	2451	0.08273769230057408			0.155				0.32531493581098675	0.3	2			64	0.296875	0.5352	Cysteine protease	false	false			0.043934	5365	118	6
SEPTIN10	ENSG00000186522	1	2019	Chang Lab	Genetics; RNA; Protein		Tbio	yes	6276								1.479263676706473	0.3	1			4	0.5			false	true			0.011558	12616	20	4
SEPTIN11	ENSG00000138758	1	2018	Emory	Protein	not prioritized for experimental validation	Tbio	yes	6277								0.6790449941673469	0.3	2			5	0.6			false	true			0.017630	10473	36	4
