gene	winner_norm	winner_raw	rank	degree
PRR22	0.003025	2.642146e+0	17977	9
PRR27	0.003025	2.641560e+0	17978	9
FOXD2	0.003024	2.640721e+0	17979	10
RNF222	0.003023	2.640319e+0	17980	10
SETD9	0.003023	2.639935e+0	17981	9
VEPH1	0.003021	2.638631e+0	17982	9
NKPD1	0.003021	2.638119e+0	17983	10
TMEM239	0.003021	2.638007e+0	17984	9
MROH2A	0.003019	2.636255e+0	17985	10
SDR42E2	0.003019	2.636069e+0	17986	9
SMIM33	0.003018	2.635912e+0	17987	9
POU6F1	0.003018	2.635423e+0	17988	10
SPATA31A6	0.003017	2.634725e+0	17989	9
POPDC3	0.003017	2.634429e+0	17990	10
ALPK2	0.003016	2.634281e+0	17991	9
PLGLB2	0.003015	2.633240e+0	17992	9
YPEL4	0.003015	2.633034e+0	17993	10
MYO1H	0.003015	2.632718e+0	17994	9
IGFL1	0.003012	2.630366e+0	17995	10
SLC16A13	0.003007	2.626150e+0	17996	10
SHE	0.003006	2.624733e+0	17997	9
SMIM15	0.003003	2.622791e+0	17998	10
SMIM8	0.003002	2.621238e+0	17999	9
S100PBP	0.002999	2.619407e+0	18000	8
SUSD2	0.002999	2.619239e+0	18001	9
LEXM	0.002998	2.618248e+0	18002	9
PRR15	0.002997	2.617413e+0	18003	10
NYAP2	0.002995	2.615240e+0	18004	10
ADPRHL1	0.002993	2.613823e+0	18005	9
ENPP4	0.002992	2.613164e+0	18006	9
ZC3H12D	0.002991	2.611617e+0	18007	8
CDKN2AIPNL	0.002990	2.611529e+0	18008	9
ADAM29	0.002989	2.610619e+0	18009	9
NIBAN2	0.002989	2.610252e+0	18010	9
SPAG7	0.002986	2.607263e+0	18011	9
ZNF865	0.002984	2.605900e+0	18012	9
SLC35F3	0.002983	2.604606e+0	18013	10
NXPE3	0.002980	2.602793e+0	18014	10
PROB1	0.002975	2.597968e+0	18015	10
ZNF615	0.002974	2.597562e+0	18016	9
TRIM34	0.002974	2.596845e+0	18017	7
FAM3A	0.002973	2.595953e+0	18018	9
ZNF426	0.002971	2.594355e+0	18019	9
RNASE8	0.002969	2.592413e+0	18020	8
IGSF10	0.002968	2.592109e+0	18021	10
EMID1	0.002968	2.591814e+0	18022	9
ENSP00000293826	0.002966	2.590221e+0	18023	7
FHOD3	0.002966	2.589764e+0	18024	8
ZNF688	0.002965	2.589292e+0	18025	10
TMEM130	0.002965	2.588945e+0	18026	10
FOXL2NB	0.002964	2.588282e+0	18027	9
TMEM267	0.002963	2.587945e+0	18028	9
SLCO5A1	0.002963	2.587202e+0	18029	9
SYT13	0.002962	2.586387e+0	18030	9
ADGRF3	0.002961	2.585518e+0	18031	10
FRG2B	0.002959	2.584319e+0	18032	10
C16ORF91	0.002958	2.583631e+0	18033	9
TBC1D3H	0.002958	2.583439e+0	18034	10
PTMS	0.002957	2.582484e+0	18035	9
